Original,New
biopower,biopower
caes,caes
gas-cc_re-cc,re-ct
gas-ct_re-ct,re-ct
lfill-gas,lfill-gas
nuclear,nuclear
re-ct,re-ct
ReEDS_battery_2,battery_2
ReEDS_battery_4,battery_4
ReEDS_battery_6,battery_6
ReEDS_battery_8,battery_8
ReEDS_battery_10,battery_10
ReEDS_distpv,distpv
ReEDS_dupv,dupv
ReEDS_geothermal,geothermal
ReEDS_hydud,hydro
ReEDS_hyded,hydro
ReEDS_hydend,hydro
ReEDS_hydund,hydro
ReEDS_pumped-hydro,phs
ReEDS_upv,upv
ReEDS_wind-ofs,onswind
ReEDS_wind-ons,ofswind
ReEDS_csp1,csp
ReEDS_csp2,csp
ReEDS_can-imports,Canada
ReEDS_hydnpnd,hydro
ReEDS_hydnd,hydro
