data_type,group,data_set,collect_data,description,Marmot Property
interval,generator,gen_out,FALSE,Output from each generator by timestep,generator_Generation
year,generator,gen_out_ann,FALSE,Generation by year,generator_Generation_Annual
year,generator,cap_out,FALSE,Nameplate power capacity (Max Capacity x Units),generator_Installed_Capacity
interval,generator,curt_out,FALSE,Output from each generator by timestep,generator_Curtailment
year,region,load_rt,FALSE,Total load within a region,region_Load
interval,line,tran_flow_power,FALSE,"Flow from ""Node From"" to ""Node To""",line_Flow
interval,line,losses_tran_h,FALSE,"losses from ""Node From"" to ""Node To""",line_Losses
year,line,tran_out,FALSE,Transmission capacity,line_Import Limit
interval,generator,stor_in,FALSE,The amount that a generator charges during a timestep.,generator_Pump Load
year,storage,stor_energy_cap,FALSE,Storage Energy Capacity,storage_Max Volumne
year,emission,emit_r,FALSE,Total emissions production,emissions_Production
interval,reserves_generators,opRes_supply_h,FALSE,Reserves provided by generator and timestep,reserves_generators_Provision
year,reserves_generators,opRes_supply,TRUE,Reserves provided by generators by year,reserves_generators_Provision_Annual
year,generator,systemcost_techba,FALSE,The total cost for operating a generators,generator_Total_Generation_Cost
