region,Usual,Country,Interconnection,CountryInterconnect
p89,AL,USA,,
p90,AL,USA,,
p56,AR,USA,,
p85,AR,USA,,
p27,AZ,USA,,
p28,AZ,USA,,
p29,AZ,USA,,
p30,AZ,USA,,
p10,CA,USA,,
p11,CA,USA,,
p8,CA,USA,,
p9,CA,USA,,
p33,CO,USA,,
p34,CO,USA,,
p132,CT,USA,,
p125,DE,USA,,
p101,FL,USA,,
p102,FL,USA,,
p91,FL,USA,,
p94,GA,USA,,
p45,IA,USA,,
p69,IA,USA,,
p70,IA,USA,,
p14,ID,USA,,
p15,ID,USA,,
p16,ID,USA,,
p80,IL,USA,,
p81,IL,USA,,
p82,IL,USA,,
p83,IL,USA,,
p105,IN,USA,,
p106,IN,USA,,
p107,IN,USA,,
p52,KS,USA,,
p53,KS,USA,,
p108,KY,USA,,
p109,KY,USA,,
p110,KY,USA,,
p93,KY,USA,,
p58,LA,USA,,
p86,LA,USA,,
p131,MA,USA,,
p121,MD,USA,,
p123,MD,USA,,
p134,ME,USA,,
p103,MI,USA,,
p104,MI,USA,,
p74,MI,USA,,
p42,MN,USA,,
p43,MN,USA,,
p44,MN,USA,,
p68,MN,USA,,
p54,MO,USA,,
p55,MO,USA,,
p71,MO,USA,,
p72,MO,USA,,
p73,MO,USA,,
p84,MO,USA,,
p87,MS,USA,,
p88,MS,USA,,
p17,MT,USA,,
p18,MT,USA,,
p19,MT,USA,,
p20,MT,USA,,
p35,MT,USA,,
p97,NC,USA,,
p98,NC,USA,,
p36,ND,USA,,
p37,ND,USA,,
p39,NE,USA,,
p40,NE,USA,,
p41,NE,USA,,
p130,NH,USA,,
p126,NJ,USA,,
p31,NM,USA,,
p47,NM,USA,,
p12,NV,USA,,
p13,NV,USA,,
p127,NY,USA,,
p128,NY,USA,,
p111,OH,USA,,
p112,OH,USA,,
p113,OH,USA,,
p114,OH,USA,,
p49,OK,USA,,
p50,OK,USA,,
p51,OK,USA,,
p5,OR,USA,,
p6,OR,USA,,
p7,OR,USA,,
p115,PA,USA,,
p119,PA,USA,,
p120,PA,USA,,
p122,PA,USA,,
p133,RI,USA,,
p95,SC,USA,,
p96,SC,USA,,
p32,SD,USA,,
p38,SD,USA,,
p92,TN,USA,,
p48,TX,USA,,
p57,TX,USA,,
p59,TX,USA,,
p60,TX,USA,,
p61,TX,USA,,
p62,TX,USA,,
p63,TX,USA,,
p64,TX,USA,,
p65,TX,USA,,
p66,TX,USA,,
p67,TX,USA,,
p25,UT,USA,,
p26,UT,USA,,
p100,VA,USA,,
p118,VA,USA,,
p124,VA,USA,,
p99,VA,USA,,
p129,VT,USA,,
p1,WA,USA,,
p2,WA,USA,,
p3,WA,USA,,
p4,WA,USA,,
p46,WI,USA,,
p75,WI,USA,,
p76,WI,USA,,
p77,WI,USA,,
p78,WI,USA,,
p79,WI,USA,,
p116,WV,USA,,
p117,WV,USA,,
p21,WY,USA,,
p22,WY,USA,,
p23,WY,USA,,
p24,WY,USA,,
